Job,Company,Job_Type,Minimum_Experience,Posted_Date,Month,Year,Location,Degree,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10,Tag11,Tag12,Tag13,Tag14,Tag15,Tag16,Tag17,Tag18,Language1,Language2,Language3,Language4,Language5,Language6,Language7,Language8,Language9,numTags,NumLag
"SALES ASSOCIATE, FULL TIME AND PART TIME",Burberry Limited,Full time Position,1 - 3 Years,29/08/2016,Aug,2016, Limburg, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Equipment Engineer,VDL,Full time Position,Entry,29/08/2016,Aug,2016, Noord Brabant, Master,Electrical,IT and Computer Science,Mechanical and Aerospace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Health and Safety Intern,TomTom,Internship / Part Time,Entry,29/08/2016,Aug,2016, Noord Holland, Bachelor,Legal,Business Admin and Others,Medical and Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Product Owner Finance,Booking.com,Full time Position,1 - 3 Years,29/08/2016,Aug,2016, Noord Holland, Bachelor,Finance and Economics,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Stage-opdracht - HBO - Informatica. Android rules!,Thales,Internship / Part Time,Entry,29/08/2016,Aug,2016, Overijssel, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
 China Online Marketing Intern,NextportChina ,Internship / Part Time,Entry,29/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,English,NA,NA,NA,NA,NA,NA,NA,1,2
"Sales Coach, Inside Sales EMEA",Palo Alto Networks,Full time Position,1 - 3 Years,28/08/2016,Aug,2016, Noord Holland, Bachelor,Finance and Economics,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Senior iOS Developer Who Knows What??s Up,Working Class Heroes,Full time Position,3 - 5 Years,28/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Technology Architecture Consultant,Accenture,Full time Position,3 - 5 Years,28/08/2016,Aug,2016, Noord Holland, Master,Electrical,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Internship Global Procurement - BMS&Energy team,Heineken Group,Internship / Part Time,Entry,28/08/2016,Aug,2016, Noord Holland, Bachelor,Supply Chain and Procurement,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,French,Spanish,NA,NA,NA,NA,NA,NA,2,3
Internship: Set-up and expansion of a system for automated validation of the Universal 2016 Top,NXP Semiconductors,Internship / Part Time,Entry,28/08/2016,Aug,2016, Gelderland, Bachelor,Electrical,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Fabulous Senior Android Developer,Working Class Heroes,Full time Position,3 - 5 Years,28/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
JAVA Architecture Consultant,Accenture,Full time Position,3 - 5 Years,28/08/2016,Aug,2016, Noord Holland, Master,Electrical,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Big Data Technology Architect,Accenture,Full time Position,3 - 5 Years,28/08/2016,Aug,2016, Noord Holland, Master,Electrical,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Internship: Information Management Reporting,Philips Lighting,Internship / Part Time,Entry,28/08/2016,Aug,2016, Noord Brabant, Bachelor,Business Admin and Others,IT and Computer Science,Physics and Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Reporting Intern,Philips Lighting,Internship / Part Time,Entry,28/08/2016,Aug,2016, Noord Brabant, Bachelor,Business Admin and Others,IT and Computer Science,Physics and Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Internship at Sector Origination,ABN AMRO Bank ,Internship / Part Time,1 - 3 Years,28/08/2016,Aug,2016, Noord Holland, Bachelor,Finance and Economics,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Telco Analytics Technology Consultant,Hewlett Packard Enterprise,Full time Position,1 - 3 Years,28/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Industrial Designer EMEA,Dell,Full time Position,3 - 5 Years,28/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Analyst (40hr/week) - all year open,Equiniti KYC Solutions,Full time Position,Entry,27/08/2016,Aug,2016, Noord Holland, Bachelor,Finance and Economics,Legal,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Mobile User Acquisition Manager,App Annie,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Utrecht, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,English,NA,NA,NA,NA,NA,NA,NA,1,2
TF DO - Volume and Install Support Engineer,ASML,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Noord Brabant, Bachelor,Electrical,Mechanical and Aerospace,Physics and Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
DE MH MDEV Sensors and Measurements - Design Engineer,ASML,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Noord Brabant, Bachelor,IT and Computer Science,Mechanical and Aerospace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Credit Insurance Assistant,LG Electronics,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Noord Holland, Bachelor,Finance and Economics,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
DevOps Engineer,Guerrilla Games,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Medior or Senior JavaScript Software Developer,CodeGuild,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Customer Support Agent,DHL,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Limburg, Bachelor,Business Admin and Others,Media,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,French,NA,NA,NA,NA,NA,NA,NA,2,2
Service Engineer,Damen,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Gelderland, Bachelor,Mechanical and Aerospace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Brand Management - Junior Assistant Brand Manager Internships in the Netherlands (m/f),Procter & Gamble,Internship / Part Time,Entry,27/08/2016,Aug,2016, Zuid Holland, Bachelor,Marketing and Sales,Business Admin and Others,Media,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Strategic Sales - Key Account Manager in the Netherlands (m/f),Procter & Gamble,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Technical Expert - Web Solutions (m/f),Nuon,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,German,NA,NA,NA,NA,NA,NA,NA,1,2
Customer Support Representative B2B - UK - Telematics,TomTom,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Noord Holland, Bachelor,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,German,NA,NA,NA,NA,NA,NA,NA,1,2
SDK Software Engineer (C# / .NET),ENTER BV,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Zuid Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Project Engineer,ENTER BV,Full time Position,Entry,27/08/2016,Aug,2016, Noord Brabant, Master,Biotech and Agricultural,Mechanical and Aerospace,Medical and Health,Physics and Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,4,1
Materials Tester ,ENTER BV,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Noord Brabant, Bachelor,Chemical and Material,Physics and Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
